id,latitude,longitude
592,55.872854,-3.401866
593,55.871058,-3.401802
594,55.867465,-3.401672
595,55.865669,-3.401608
596,55.863872,-3.401543
597,55.862076,-3.401478
598,55.86028,-3.401413
599,55.858483,-3.401349
600,55.856687,-3.401284
601,55.85489,-3.401219
602,55.853094,-3.401155
603,55.851298,-3.40109
604,55.849501,-3.401025
605,55.847705,-3.400961
606,55.845908,-3.400896
607,55.844112,-3.400832
608,55.842316,-3.400767
609,55.840519,-3.400702
610,55.838723,-3.400638
611,55.836926,-3.400573
612,55.83513,-3.400508
613,55.833334,-3.400444
614,55.991454,-3.402951
615,55.989657,-3.402886
616,55.987861,-3.402821
617,55.986064,-3.402756
618,55.984268,-3.402691
619,55.982471,-3.402626
620,55.980675,-3.402561
621,55.978879,-3.402496
622,55.977082,-3.402431
623,55.975286,-3.402366
624,55.973489,-3.402301
625,55.971693,-3.402235
626,55.969897,-3.40217
627,55.9681,-3.402105
628,55.966304,-3.40204
629,55.964507,-3.401975
630,55.962711,-3.40191
631,55.960914,-3.401845
632,55.959118,-3.40178
633,55.957322,-3.401716
634,55.955525,-3.401651
635,55.953729,-3.401586
636,55.951932,-3.401521
637,55.950136,-3.401456
638,55.94834,-3.401391
639,55.946543,-3.401326
640,55.944747,-3.401261
641,55.942951,-3.401196
642,55.941154,-3.401131
643,55.939358,-3.401066
644,55.937561,-3.401001
645,55.935765,-3.400937
646,55.933969,-3.400872
647,55.932172,-3.400807
648,55.930376,-3.400742
649,55.928579,-3.400677
650,55.926783,-3.400612
651,55.924987,-3.400547
652,55.92319,-3.400483
653,55.921394,-3.400418
654,55.919597,-3.400353
655,55.917801,-3.400288
656,55.916005,-3.400223
657,55.914208,-3.400159
658,55.912412,-3.400094
659,55.910615,-3.400029
660,55.908819,-3.399964
661,55.907023,-3.3999
662,55.905226,-3.399835
663,55.90343,-3.39977
664,55.887262,-3.399188
665,55.885466,-3.399124
666,55.883669,-3.399059
667,55.881873,-3.398994
668,55.880076,-3.39893
669,55.87828,-3.398865
670,55.876484,-3.3988
671,55.874687,-3.398736
672,55.872891,-3.398671
673,55.871094,-3.398607
674,55.867502,-3.398477
675,55.865705,-3.398413
676,55.863909,-3.398348
677,55.862112,-3.398284
678,55.860316,-3.398219
679,55.85852,-3.398155
680,55.856723,-3.39809
681,55.854927,-3.398026
682,55.85313,-3.397961
683,55.851334,-3.397897
684,55.849538,-3.397832
685,55.847741,-3.397768
686,55.845945,-3.397703
687,55.844148,-3.397639
688,55.842352,-3.397574
689,55.840556,-3.39751
690,55.838759,-3.397445
691,55.836963,-3.397381
692,55.835166,-3.397316
693,55.83337,-3.397252
694,55.99149,-3.399746
695,55.989694,-3.399681
696,55.987897,-3.399616
697,55.986101,-3.399551
698,55.984304,-3.399486
699,55.982508,-3.399422
700,55.980711,-3.399357
701,55.978915,-3.399292
702,55.977119,-3.399227
703,55.975322,-3.399162
704,55.973526,-3.399097
705,55.971729,-3.399032
706,55.969933,-3.398967
707,55.968136,-3.398902
708,55.96634,-3.398838
709,55.964544,-3.398773
710,55.962747,-3.398708
711,55.960951,-3.398643
712,55.959154,-3.398578
713,55.957358,-3.398513
714,55.955562,-3.398449
715,55.953765,-3.398384
716,55.951969,-3.398319
717,55.950172,-3.398254
718,55.948376,-3.398189
719,55.94658,-3.398125
720,55.944783,-3.39806
721,55.942987,-3.397995
722,55.941191,-3.39793
723,55.939394,-3.397866
724,55.937598,-3.397801
725,55.935801,-3.397736
726,55.934005,-3.397672
727,55.932209,-3.397607
728,55.930412,-3.397542
729,55.928616,-3.397477
730,55.926819,-3.397413
731,55.925023,-3.397348
732,55.923227,-3.397283
733,55.92143,-3.397219
734,55.919634,-3.397154
735,55.917837,-3.397089
736,55.916041,-3.397025
737,55.914244,-3.39696
738,55.912448,-3.396895
739,55.910652,-3.396831
740,55.908855,-3.396766
741,55.907059,-3.396702
742,55.905262,-3.396637
743,55.903466,-3.396572
744,55.889095,-3.396056
745,55.887298,-3.395992
746,55.885502,-3.395927
747,55.883706,-3.395863
748,55.881909,-3.395798
749,55.880113,-3.395734
750,55.878316,-3.395669
751,55.87652,-3.395605
752,55.874723,-3.39554
753,55.872927,-3.395476
754,55.871131,-3.395412
755,55.869334,-3.395347
756,55.867538,-3.395283
757,55.865741,-3.395218
758,55.863945,-3.395154
759,55.862149,-3.395089
760,55.860352,-3.395025
761,55.858556,-3.394961
762,55.856759,-3.394896
763,55.854963,-3.394832
764,55.853167,-3.394768
765,55.85137,-3.394703
766,55.849574,-3.394639
767,55.847777,-3.394574
768,55.845981,-3.39451
769,55.844185,-3.394446
770,55.842388,-3.394381
771,55.840592,-3.394317
772,55.838795,-3.394253
773,55.836999,-3.394189
774,55.835203,-3.394124
775,55.833406,-3.39406
776,55.83161,-3.393996
777,55.829813,-3.393931
778,55.991526,-3.396541
779,55.98973,-3.396476
780,55.987933,-3.396412
781,55.986137,-3.396347
782,55.984341,-3.396282
783,55.982544,-3.396217
784,55.980748,-3.396153
785,55.978951,-3.396088
786,55.977155,-3.396023
787,55.975358,-3.395958
788,55.973562,-3.395894
789,55.971766,-3.395829
790,55.969969,-3.395764
791,55.968173,-3.395699
792,55.966376,-3.395635
793,55.96458,-3.39557
794,55.962784,-3.395505
795,55.960987,-3.395441
796,55.959191,-3.395376
797,55.957394,-3.395311
798,55.955598,-3.395247
799,55.953801,-3.395182
800,55.952005,-3.395117
801,55.950209,-3.395053
802,55.948412,-3.394988
803,55.946616,-3.394923
804,55.94482,-3.394859
805,55.943023,-3.394794
806,55.941227,-3.39473
807,55.93943,-3.394665
808,55.937634,-3.3946
809,55.935838,-3.394536
810,55.934041,-3.394471
811,55.932245,-3.394407
812,55.930448,-3.394342
813,55.928652,-3.394278
814,55.926856,-3.394213
815,55.925059,-3.394149
816,55.923263,-3.394084
817,55.921466,-3.394019
818,55.91967,-3.393955
819,55.917873,-3.39389
820,55.916077,-3.393826
821,55.914281,-3.393761
822,55.912484,-3.393697
823,55.910688,-3.393632
824,55.908892,-3.393568
825,55.907095,-3.393504
826,55.905299,-3.393439
827,55.903502,-3.393375
828,55.889131,-3.39286
829,55.887335,-3.392795
830,55.885538,-3.392731
831,55.883742,-3.392667
832,55.881945,-3.392602
833,55.880149,-3.392538
834,55.878353,-3.392474
835,55.876556,-3.392409
836,55.87476,-3.392345
837,55.872963,-3.392281
838,55.871167,-3.392217
839,55.86937,-3.392152
840,55.867574,-3.392088
841,55.865778,-3.392024
842,55.863981,-3.391959
843,55.862185,-3.391895
844,55.860388,-3.391831
